,value_orientation,value_scale,value_shape,value_x_position,value_y_position
value_orientation,2.8634,0.0084,0.578,0.0064,0.0049
value_scale,3.5069,0.0068,0.5175,0.0041,0.0047
value_shape,3.428,0.0082,0.257,0.0055,0.0049
value_x_position,3.5131,0.0088,0.6042,0.0034,0.004
value_y_position,3.5068,0.0066,0.5785,0.003,0.0037
