,value_orientation,value_scale,value_shape,value_x_position,value_y_position
value_orientation,0.6875,0.2455,0.7739,0.032,0.0329
value_scale,0.9145,0.0395,0.3324,0.017,0.0182
value_shape,0.8819,0.0515,0.2367,0.016,0.0167
value_x_position,0.854,0.1666,0.735,0.0103,0.0131
value_y_position,0.9376,0.164,0.7449,0.0138,0.0104
